ID	OCT	NOV	DEC	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP
4LW	1.24	0.51	0.34	1.7	0.35	1.76	2	1.28	0.58	0.01	0.05	0.01
ADNC1	0.39	0.85	0.18	1.7	0.91	2.06	2.09	1.19	0.56	0	0.01	0
ALTC1	M	0.72	0.1	0.81	0.97	1.1	1.64	M	M	0	0.06	M
AUBC1	2.9	0.84	0.03	M	1.81	10.15	6.47	0.09	0.21	0.03	0	0
BLU	M	M	M	M	M	M	M	M	M	M	M	M
BNYC1	1.64	1.1	0.19	3.38	0.94	5.43	3.33	1	0.81	0.01	0.04	0
BODC1	6.33	4.55	0.32	7.28	3.59	21.46	9.74	0.56	2.5	0.52	0.06	0.02
BRRC1	M	M	M	M	M	M	M	M	M	M	M	M
BUCC1	4.21	2.59	0.33	7.25	3.62	18.52	8.98	0.62	1.01	M	M	0
BUKC1	5.93	4.72	1.16	7.75	2.69	16.78	6.26	2.33	3.02	0.33	0.09	0
CANC1	2.45	1.52	0.13	5.3	2.44	10.23	4.97	0.24	0.87	0	0	0
CBYC1	M	M	M	M	M	M	M	M	M	M	M	M
CHAC1	M	M	M	M	M	M	M	M	M	M	M	M
CHEC1	2.28	1.15	0.47	4.33	1.25	10.47	4.47	0.4	0.65	0	0.02	0
CHUC1	2.05	1.59	0	5.07	0.96	5	2.35	0	0.23	0	0	0
CLGC1	3.62	1.26	0.15	5.58	2.53	13.89	5.57	0.13	0.46	0.01	0.02	0.03
COFC1	3.01	1.78	0.11	6.29	3.54	17.34	6.06	0.37	0.62	0.05	M	M
DAVC1	1.18	1.22	0.4	3.05	0.87	4.06	2.01	0	0.04	0	M	M
DESC1	4.81	2.96	0.44	9.22	3.8	18.64	6.76	0.13	0.96	M	M	0
DUNC1	2.71	5.65	1.71	8.87	3.88	18.11	7.7	1	2.02	0	0	0
DWNC1	4.94	3.47	0.3	8.41	4.19	20.18	8.51	0.41	1.63	0.09	0.05	M
FSTC1	4.93	1.98	0.13	7.68	3.46	13.59	7.73	0.17	1.07	M	0	0.29
GEOC1	4.27	2.36	0.13	7.7	2.99	22.07	6.85	0.24	0.14	0.22	0.01	0.03
GLRC1	4.98	2.71	0.13	9.68	3.53	17.03	9.56	0.52	1.27	0	0.03	M
GRAC1	4.2	1.99	0.17	7.37	4.11	17.86	8.79	0.41	1.73	0.03	0.05	0
GREC1	M	M	M	M	M	M	M	M	M	M	0.03	M
HATC1	1.18	0.85	0.08	1.29	0.87	2.9	2.78	1.37	1.68	0	M	0
HLEC1	1.61	1.17	0.13	4.01	2.02	9.96	4.79	0.34	0.2	0	0	0
HRRC1	M	M	M	M	M	M	M	M	M	M	M	M
LSPC1	5.39	3.9	0.29	9.82	5.93	23.21	9.72	0.92	1.72	0.68	0.24	M
MCLC1	2.4	4.16	0.42	6.31	3.22	13.52	8.4	1.04	1.48	0.35	1	0
MHS	2.27	3.46	0.46	6.03	2.81	12.31	5.75	0.64	1.92	0.08	0.03	0
MINC1	3.53	2.97	0.58	6.68	2.49	12.83	7.5	0.65	0.17	0	0.02	0
MNZC1	1.88	3.23	0.56	5.08	1.17	8.26	4.5	2.46	1.2	0	0	0
NCOC1	1.43	0.93	0.1	3.55	0.81	4.47	2.24	0.02	M	M	M	M
NVDC1	4.9	3.02	0.24	9.2	3.74	20.92	10.67	0.9	2.3	0.1	0	M
