ID	OCT	NOV	DEC	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP
ONDC1	1.84	2.68	0.07	3.62	0.86	3.38	1.67	0	0.07	0	0	0
PCHC1	4.46	2.42	0.05	7.77	2.71	13.68	7.94	0.62	1.44	0.51	0.07	0.13
PLCC1	4.66	1.71	0.06	5.97	2.67	12.18	5.31	0.11	0.74	0.71	M	0.14
PLUC1	4.4	2.6	0.7	7.73	4.04	17.21	7.63	1.05	1.87	0.24	0.01	0
PRAC1	1.29	1.7	0.07	2.83	1.12	5.9	2.88	0.72	0.7	0.26	0	0
PRDC1	4.88	2.39	0.3	10.07	3.35	13.7	5.47	0.08	0.53	0	0	0
PRPC1	4.66	3.46	1.2	7.17	M	24.1	6.33	1.87	2.26	M	0.08	0
PTRC1	0.81	M	0.03	1.96	0.66	2.35	1.29	0.93	0.35	0	M	M
QCYC1	3.15	1.5	0.15	5.33	2.23	13.82	5.79	0.31	0.65	0	0.08	0
RBL	1.79	2.96	0.07	4.39	1.87	4.54	1.48	0.88	0.18	0	0	0
ROMC1	M	M	M	M	M	M	M	M	M	M	M	M
SAC	1.33	0.74	0.27	2.43	0.92	4.06	2.42	0	0.03	0.03	0	0
SERC1	1.7	0.79	0	M	1.32	5.84	2.62	0.47	0.52	0.5	0.08	0.14
SHDC1	3.99	3.59	0.69	7.6	2.85	19.28	5.33	0.6	0.49	0.06	0.3	0
SLPC1	3.47	2.04	0.03	6.84	1.67	13.48	7.69	0.27	0.02	0	0	0
SMTC1	1.72	0.87	0.07	2.52	0.94	4.45	2.65	0	0.01	0	0	0
SODC1	4.72	3.5	0.24	7.68	4.37	15.1	5.94	0.24	1.46	0.5	0.31	0.2
STOC1	1.32	1.98	0.06	3.41	1.29	2.91	1.31	0.03	0	0	0.02	0
STYC1	5.89	3.56	0.79	10.77	4.48	23.77	11.69	0.32	1.43	0.03	0.09	0
TWLC1	3.25	1.27	0.09	5.09	2.22	6.45	3.78	1.11	1.08	0.07	1.36	0.08
VOLC1	3.3	2.32	0.59	5.65	2	5.12	2.51	1.1	1.33	0	0	0
VTNC1	0.98	0.48	0	2.25	0.51	3.44	0.84	0.29	0.49	0.83	0.06	0.12
WDDC1	0.95	1.13	0.28	3.37	0.9	4.24	2.12	M	M	M	M	M
WSKC1	M	M	0.42	9.11	3.27	19.19	4.42	1.12	1.2	0	0	0
