ID	OCT	NOV	DEC	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP
ABYC1	0.9	3.44	7.1	2.19	1.13	2.33	0.96	0.83	0.1	0	0	0
ARNC1	1.37	9.65	13.02	3.6	4.43	8.71	2.76	2.78	0	0	0	0
BCRC1	1.54	6.02	7.68	3	1.33	3.6	2.16	2.21	0.05	0	0	0
CHVC1	2.07	8.96	12.28	4.13	3.28	6.46	2.17	2.26	0.15	0	0	0.14
CMPC1	0.75	2.54	6.02	2.03	2.44	3.57	0.63	1.35	0	0	0	0
COAC1	0.89	4.65	8.65	1.92	1.65	4.16	0.91	1.12	0	0	M	M
EXQC1	0.56	3.71	5.84	1.92	1.08	2.02	0.46	0.81	0	0	0	0.03
FDDC1	0.85	5.34	8.28	3.42	3.86	5.46	1.41	2.08	0	0	0	0
FLOC1	1.43	4.59	5.72	1.21	1.53	2.25	0.8	1.65	0.01	0.01	0	0.1
FRAC1	0.58	2.49	3.55	1.49	1.1	1.49	0.38	0.72	0	0	0	0
GRVC1	1.38	6.25	9.36	3.28	2.3	4.6	1.17	1.22	0.01	0	0	0.13
HETC1	1.17	7.22	9.14	2.88	2.13	3.57	2.1	2.47	0.22	0	0	0.26
HNTC1	1.86	8.5	10.08	4.27	2.24	5.41	2.54	2.84	0.08	0	0	0.11
LOSC1	0.27	1.15	2.2	0.82	0.16	0.84	0.14	0.2	0	0	0	0.05
MATC1	0.94	5.92	8.41	2.82	2.18	3.8	2.34	2.15	0	0	0	0.18
MCEC1	0.36	2.57	2.59	1.36	0.91	1.47	0.06	1.35	0	0	0	0
MDRC1	0.51	1.89	2.42	1.4	0.34	1.14	0.23	0.33	0.22	0	M	0
MOD	0.05	1.76	4.69	1.83	0.57	1.45	0.08	0.13	0	0	0	0
MRIC1	0.99	6.85	7.42	2.73	M	2.39	0.6	M	0	M	M	0.19
NMDC1	0.73	3.74	8.39	3.18	1.93	3.93	0.97	1.14	0	0	0	0
NOFC1	0.72	4.52	8.86	2.72	1.44	4	1.38	2.15	0.18	0	0	0.19
PANC1	0.06	1.45	2.39	0.48	0.29	0.9	0.6	0.24	0	0	0	0
SCKC1	0.44	2.91	6.6	1.62	0.86	2.92	0.1	0.92	0	0	0	0
SLDC1	0.13	1.97	2.23	0.77	0.53	0.85	0.17	0.23	0	0	0	0
SONC1	0.83	5.14	10.03	2.6	3	5.32	0.78	1.11	0	0	0	0.04
SPGC1	1.51	8.32	11.27	3.53	3.67	6.11	2.69	2.07	0	0	0	0.16
TIGC1	1.38	7.62	12.86	3.69	4.07	6.8	2.12	2.4	0	0.03	0	0.04
TRAC1	0.23	1.57	4.04	1.25	0.55	1.46	0	0.08	0	0	0	0
WSTC1	1.24	3.97	12.19	3.93	3.88	6.22	1.76	2.36	0	0	0	0
YNPC1	1.8	7.74	12.05	2.48	2.35	4.34	1.49	1.79	0	0	0	0.5
YPQC1	0.9	8.25	10.98	2.22	1.93	4.03	1.83	1.75	0.1	0	0	0.52
