ID,Location,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,WY Tota,Pct Avg to Date,
4LW,LAKEVIEW,0.57,3.25,5.08,2.79,1.1,1.28,2.14,0.14,0.2,0.02,0.08,0.13,16.78,109,109
ADNC1,ADIN,1.16,3.23,6.02,2.41,1.35,2.57,2.75,0.75,0.58,0.12,0.04,0.01,20.99,132,132
ALTC1,ALTURAS,0.76,1.92,3.98,1.43,1.25,2.03,2.42,0.46,0.07,M,M,M,M,,
AUBC1,AUBURN,0.89,2.51,11.28,6.31,4.35,9.16,9.92,1.04,0,0,0,0,45.46,125,125
BLU,BLUE CANYON,M,M,M,7.11,M,M,M,M,0,M,M,M,M,,
BNYC1,BURNEY,0.8,5.09,12.15,6.37,4.87,7.25,8.79,0.18,0.06,0.01,0,0,45.57,169,169
BODC1,BOWMAN DAM,2.76,8.27,27.49,19.51,7.47,20.83,16.6,1.45,0.13,0,0,0,104.51,152,152
BRRC1,BRUSH CREEK RS,0.63,9.82,43.46,14.32,7.44,29.57,20.71,1.35,0,0,0,0,127.3,179,179
BUCC1,BUCKS CREEK,1.37,7.19,29.25,13.47,8.64,18.39,15.9,1.59,0.21,0.01,0,0,96.02,138,138
BUKC1,BUCKHORN,4.06,8.92,28.52,19.81,12.27,19.01,16.03,1.53,0.07,0,0,0,110.22,166,166
CANC1,CANYON DAM,1.04,5.39,18.68,6.18,6.12,8.42,8.96,0.67,0.21,0,0,0,55.67,147,147
CBYC1,CANBY 3SW,1.07,3.85,5.55,5.58,1.84,2.58,2.25,M,M,0.25,0.2,0,M,,
CHAC1,CHALLENGE RS,M,6.84,36.21,M,M,M,M,M,M,M,M,M,M,,
CHEC1,CHESTER,0.8,5.1,12.87,7.35,5.4,7.51,7.14,1.15,0.48,0.21,M,0,M,,
CHUC1,CHICO UNIVERSITY FARM,0.72,2.98,12.32,3.61,3.51,8.03,5.02,0.73,0,0,0,0,36.92,141,141
CLGC1,COLGATE PH,1.58,3.6,18.96,7.02,5.36,12.63,8.65,0.77,0,0,0,0,58.57,142,142
COFC1,COLFAX,1.16,2.83,16.86,6.45,6,10.24,7.59,1.48,0,0,0,0,52.61,109,109
DAVC1,DAVIS EXPERIMENTAL FARM,0.08,1.42,9.76,2.59,2.13,5.45,3.49,0.31,0,0,0,0,25.23,132,132
DESC1,DE SABLA,2.74,7.86,32.19,12.57,10.45,20.55,15.42,2.13,0.75,0,0,0,104.66,159,159
DUNC1,DUNSMUIR,2.41,11.48,25.72,15.6,2.27,18.71,10.44,2.96,0.8,0,0,0,90.39,146,146
DWNC1,DOWNIEVILLE,2.19,8.76,29.71,11.51,10.15,11.42,16.49,2.86,0.34,0,0,0,93.43,149,149
FOLC1,FOLSOM DAM,M,M,M,M,6.48,M,6.19,M,M,M,M,M,M,,
FSTC1,FORESTHILL RS,1.06,4.91,29.5,12.67,8.79,15.67,14.9,1.42,0,0,0,0,88.92,171,171
GEOC1,GEORGETOWN RS,1.29,4.39,M,11.2,6.36,14.63,13.92,M,M,0,M,M,M,,
GLRC1,GOLD RUN 2SW,1.48,4.72,29.26,10.6,9.03,13.48,15.2,1.45,0,0,0,0,85.22,155,155
GRAC1,GRASS VALLEY NO. 2,1.27,4.42,26.73,8.83,6.85,16.02,12.62,1.42,0,0,0,0,78.16,147,147
GREC1,GREENVILLE RS,0.88,6.1,21.71,M,M,8.64,9.22,M,M,M,M,M,M,,
HATC1,HAT CREEK,0.42,3.74,5.57,3.28,2.62,5.58,4.7,0.39,0.27,0,0,0,26.57,132,132
HLEC1,HARRY L ENGLEBRIGHT DAM,1.06,3.32,15.86,5.03,2.75,11.35,7.01,0.61,0.01,0,0,0,47,135,135
HRRC1,HARRISON GULCH RS,0.7,5.12,M,11.69,3.69,6.36,4.26,1.72,1.37,0,0,0,M,,
LSPC1,LAKE SPAULDING,2.51,7.07,34.61,12,9.4,19,16.4,2.08,0,0,0,0.01,103.08,139,139
MCLC1,MCCLOUD,1.58,7.63,15.07,9.84,6.24,13.28,8.39,1.6,0.23,0,0,0,63.86,130,130
MHS,MT. SHASTA,1.28,6.01,16.92,7.94,6.86,11.89,6.83,3.22,1.33,0.01,0,0,62.29,156,156
MINC1,MINERAL,1.35,9.15,28.29,8.77,9.63,13.25,11.54,1.48,0.2,0,0,0,83.66,149,149
MNZC1,MANZANITA LAKE,1.11,7.27,12.05,6.65,5.21,10.01,5.62,1.97,0.36,0,0,0,50.25,122,122
NCOC1,NICOLAUS,0.32,2.32,7.62,2.14,2.07,4.69,3.63,0.52,0,0,0,0,23.31,118,118
NVDC1,NEVADA CITY,1.39,4.77,29.95,10.44,7.19,17.76,15.04,1.65,0,0,0,0,88.19,149,149
ONDC1,ORLAND,0.4,2.21,8.59,3.22,2.87,5.69,5.4,0.63,0.27,0,0,0,29.28,134,134
OROC1,OROVILLE,1.73,4,11.51,4.05,3.85,9.14,6.74,0.59,0,0,0,M,M,,
