ID,Location,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,WY Tota,Pct Avg to Date,
MCEC1,MERCED,1.71,0.17,2.77,3.18,2.94,0.77,3.67,0.47,0,0,0,0,15.68,125,125
MDRC1,MADERA,0.9,0.15,2.12,2.48,3.26,2.04,2.69,0.15,0,0,0,0,13.79,115,115
MOD,MODESTO AP,1.6,0.17,1.59,3.71,2.86,1.25,2.35,0.84,0.02,0,0,0,14.39,110,110
MRIC1,MARIPOSA RS,7.26,0.57,6.79,6.84,4.93,3.49,4.76,1.14,0,0.01,0,0,35.79,119,119
NMDC1,NEW MELONES DAM HQ,2.35,0.89,4.61,8.01,5.4,3.57,6.16,2.19,0,0,0,0,33.18,NA,NA
NOFC1,NORTH FORK RS,6.59,0.32,7.57,7.95,7.5,3.68,7.6,0.94,0,0,0,0,42.15,124,124
PANC1,PANOCHE 2W,1.51,0.14,1.53,4.36,2.44,0.55,2.17,0.2,0,0,0,0,12.9,122,122
SCKC1,STOCKTON FIRE STA 4,2.22,0.12,1.6,2.62,2.9,1.54,2.77,M,0,M,0,M,M,,
SONC1,SONORA,2.88,1.32,5.47,6.43,5.15,3.66,5.76,1.73,0.11,0,0,0,32.51,99,99
SPGC1,SALT SPRINGS PH,4.69,1.33,6.22,5.78,5.06,5.67,7.66,5.7,0.06,0.01,0.04,M,M,,
TIGC1,TIGER CREEK PH,4.06,1.2,8.03,8.74,5.08,4.84,8.26,4.1,0.03,0,0,M,M,,
TRAC1,TRACY CARBONA,1.5,0.07,M,4.13,1.81,1.24,1.28,0.27,0,0,0,0,M,,
WSTC1,WEST POINT,4.03,1.29,6.91,9.02,5.46,4.74,8.52,3.97,0.08,M,0,0,M,,
YNPC1,SOUTH ENTRANCE YOSEMITE,6.42,0.4,6.83,6.96,6.71,3.39,6.98,2.31,0,0,0,0,40,95,95
YPQC1,YOSEMITE PARK HEADQUARTER,5.87,0.6,8.64,9.31,6.54,2.79,7.46,1.56,0,0,0,0,42.77,113,113
