ID,Location,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,WY Tota,Pct Avg to Date,
4LW,LAKEVIEW,1.95,0.78,2.3,0.62,1.17,1.37,2.36,3.68,0.85,0.09,0,0.63,15.8,102,102
ADNC1,ADIN,2.92,2.18,1.19,0.78,0.93,1.45,1.53,4.91,0.66,M,0,M,M,,
ALTC1,ALTURAS,3.14,2.06,0.47,1.04,0.76,1.4,1.79,3.21,M,M,M,M,M,,
AUBC1,AUBURN,3.88,4.44,7.24,5.14,2.82,7.97,1.4,3.66,1.41,0,0,0.64,38.6,106,106
BLU,BLUE CANYON,8.13,4.17,M,M,M,12.49,M,M,3.86,0,0,M,M,,
BNYC1,BURNEY,3.84,1.6,3.75,3.73,2.46,4.73,3.53,5.51,1.28,0,0,0.14,30.57,114,114
BODC1,BOWMAN DAM,M,3.05,9.88,12.13,5.28,13.04,5.06,13.62,3.26,0,M,0.24,M,,
BRRC1,BRUSH CREEK RS,10.24,2.69,16.71,8.51,3.84,13.41,5.45,14.33,2,M,0,M,M,,
BUCC1,BUCKS CREEK,7.96,2.58,9.4,8.36,5.39,9.82,3.93,8.95,2.71,0,0,0.41,59.51,86,86
BUKC1,BUCKHORN,7.04,3.17,11.54,7.72,6.65,10.92,6.99,14.8,2.92,0,0,0,71.75,108,108
CANC1,CANYON DAM,5.43,1.55,6.44,6.93,2.73,7.5,3.09,5.54,2.09,0,0,0.73,42.03,111,111
CBYC1,CANBY 3SW,3.54,2.17,1.15,0.8,1,2.15,2.43,4.96,0.67,0,0,0.62,19.49,118,118
CHAC1,CHALLENGE RS,10.24,3.97,13.56,9.07,4.56,13.25,3.7,M,M,M,M,M,M,,
CHEC1,CHESTER,5.42,2.32,6.06,6.39,2.86,5.9,2.31,5.14,1.94,0,0,M,M,,
CHUC1,CHICO UNIVERSITY FARM,4.92,1.98,2.39,8.93,2.69,2.57,2.15,3.25,1.44,0,0,M,M,,
CLGC1,COLGATE PH,5.91,3.65,7.48,6.19,4.32,7.91,2.14,6.04,2.12,0,0,0.34,46.1,112,112
COFC1,COLFAX,6.12,4.37,7.72,8.86,4.92,6.06,3.01,6.68,2.11,0,0,M,M,,
DAVC1,DAVIS EXPERIMENTAL FARM,2.53,2.85,3.98,3.29,3.39,2.53,0.77,M,0.61,0,0,0,M,,
DESC1,DE SABLA,10.55,2.77,14,10.26,5.13,9.98,5.01,9.87,2.97,0,0,0.15,70.69,107,107
DUNC1,DUNSMUIR,8.14,1.34,16.47,7.72,6.08,9.61,4.99,8.84,4.55,0,0,0.23,67.97,110,110
DWNC1,DOWNIEVILLE,7.69,2.89,11.1,10.04,4.37,12.11,4.55,9.89,2.18,0,0,0.45,65.27,104,104
FOLC1,FOLSOM DAM,M,M,M,M,2.31,3.7,1.27,M,M,M,M,M,M,,
FSTC1,FORESTHILL RS,8.15,6.69,8.67,12.64,6.38,12.79,4.42,8.26,3.41,0,0,1.12,72.53,139,139
GEOC1,GEORGETOWN RS,8.78,4.63,8.42,11.06,6.17,14.04,3.9,7.31,3.02,0,0,1.22,68.55,127,127
GLRC1,GOLD RUN 2SW,7.67,4.54,10.54,9.97,5.6,12.2,3.96,9.37,3.23,0,0,1.37,68.45,124,124
GRAC1,GRASS VALLEY NO. 2,6.66,3.82,10.6,8.03,5.26,10.12,3.82,8.07,2.1,0,0,0.48,58.96,111,111
GREC1,GREENVILLE RS,6.09,2.37,7.52,5.98,2.79,7.31,2.46,4.61,1.54,0,M,0.82,M,,
HATC1,HAT CREEK,2.67,1.7,1.05,1.8,1.56,1.94,2.53,4.89,0.06,0,0,M,M,,
HLEC1,HARRY L ENGLEBRIGHT DAM,4.61,3.14,7.09,5.12,3.42,6.59,1.69,4.12,1.48,0,0,0.16,37.42,107,107
