ID,Location,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,WY Tota,Pct Avg to Date,
4LW,LAKEVIEW,1.74,0.39,1.08,1.93,0.12,0.35,0.22,1.23,0.04,0,0.04,0.04,7.18,46,46
ADNC1,ADIN,1.43,0.98,1.85,2.36,0.89,0.57,0.42,1.55,M,0.04,M,M,M,,
ALTC1,ALTURAS,2.13,0.83,M,1.68,0.89,M,0.64,2.79,M,M,M,M,M,,
AUBC1,AUBURN,1.25,M,4.46,6.91,3.98,0.92,0.32,0.06,0,0,0,0,M,,
BLU,BLUE CANYON,5.62,2.03,M,M,5.03,M,M,1.63,M,M,M,M,M,,
BNYC1,BURNEY,2.37,0.37,2.93,6.02,3.55,0.91,0.74,0.3,0.04,0,0.12,0,17.35,65,65
BODC1,BOWMAN DAM,7.2,2.29,10.15,15.43,9.22,3.2,1.01,2.34,0,0,0,0,50.84,74,74
BRRC1,BRUSH CREEK RS,4.33,1.57,11.67,13.41,12.11,1.49,1.46,0.84,0,0,M,M,M,,
BUCC1,BUCKS CREEK,4.43,1.47,7.77,14.25,8.89,2.57,1,0.7,0.16,0,0,0,41.24,59,59
BUKC1,BUCKHORN,8.2,1.66,10.66,17.48,10.31,2.7,1,1.03,0.1,0,0.16,0,53.3,80,80
CANC1,CANYON DAM,3.28,0.96,3.87,10.03,4.75,1.11,0.6,1.25,0.01,0,0,0.04,25.9,68,68
CBYC1,CANBY 3SW,2.25,1.24,1.25,2.28,0.89,0.47,0.88,2.7,0.66,0,0,0,12.62,77,77
CHAC1,CHALLENGE RS,4.27,1.6,M,8.8,5.96,1.24,0.76,M,M,M,M,M,M,,
CHEC1,CHESTER,2.92,0.65,4.09,10.26,4.71,1.1,0.51,0.82,0.01,0,0,0,25.07,76,76
CHUC1,CHICO UNIVERSITY FARM,1.53,0.52,4.21,M,M,0.02,0.24,0.05,0,0,0.05,0,M,,
CLGC1,COLGATE PH,3.34,1.5,7.61,8.67,4.47,1.49,0.48,0.22,0,0,0,0,27.78,67,67
COFC1,COLFAX,2.43,1.62,8.08,7.89,3.72,1.43,0.42,0.02,0,0,0,0,25.61,53,53
DAVC1,DAVIS EXPERIMENTAL FARM,1.35,0.83,2.84,8.16,2.59,0.01,0,0.02,M,M,0,M,M,,
DESC1,DE SABLA,4.49,1.59,9.64,16.64,8.35,1.24,0.91,0.38,0.06,0,0,M,M,,
DUNC1,DUNSMUIR,5.91,0.97,11.31,16.28,6.11,4.28,0.85,0.42,0,0,0.29,0,46.42,75,75
DWNC1,DOWNIEVILLE,3.95,1.56,8.12,17.37,7.74,2.54,0.67,1.56,0,0,0,0.01,43.52,69,69
FSTC1,FORESTHILL RS,4.94,1.74,9.34,10.66,6.46,2.11,0.54,0.86,0,0,0,0,36.65,70,70
GEOC1,GEORGETOWN RS,3.02,1.1,8.21,9.24,8.55,1.55,0.47,0.99,0,0,M,M,M,,
GLRC1,GOLD RUN 2SW,4.43,1.59,9.7,11.62,6.75,2.11,0.51,0.91,0,0,0,0,37.62,68,68
GRAC1,GRASS VALLEY NO. 2,4.13,1.6,10.06,9.95,7.17,1.43,0.45,0.42,0,0,0,0,35.21,66,66
GREC1,GREENVILLE RS,1.92,0.72,3.96,11.05,5.12,1.07,0.44,0.95,M,M,M,M,M,,
HATC1,HAT CREEK,0.95,0.41,1.94,3.46,3.57,0.78,1,0.51,0.02,0,0,0.06,12.7,63,63
HLEC1,HARRY L ENGLEBRIGHT DAM,1.59,1.23,6.15,9.75,3.82,0.21,0.3,0.07,0,0,0,0,23.12,66,66
HRRC1,HARRISON GULCH RS,3.74,0.49,5.85,M,M,0.56,0.65,1.17,0,M,0,0,M,,
LSPC1,LAKE SPAULDING,4.76,2.02,9.81,17.65,12.16,5.71,1.6,1.89,0.01,0,0,M,M,,
MCLC1,MCCLOUD,4.62,0.89,9.1,12.77,6.67,0.52,0.78,1.47,0.04,0,0.22,0,37.08,76,76
MHS,MT. SHASTA,3.59,0.63,7.93,10.72,3.93,0.51,0.53,1.27,0.02,0,0.22,0,29.35,74,74
MINC1,MINERAL,3.43,1.67,4.93,13.97,6.81,2.66,0.81,0.85,0,0,0.01,0,35.14,62,62
MNZC1,MANZANITA LAKE,4.01,2.28,4.16,8.5,3.41,4.04,M,0.8,0,0,0.06,0.06,M,,
NCOC1,NICOLAUS,1.55,0.73,3.4,6.89,2.02,0.22,0.05,0.03,0,0,0,0,14.89,75,75
NVDC1,NEVADA CITY,4.26,1.78,11.52,12.28,8.83,2.48,0.5,0.74,0,0,0.03,0,42.42,72,72
ONDC1,ORLAND,0.77,0.43,3.13,8.85,2.71,0,0.07,0.21,0,0,0,0,16.17,74,74
PCHC1,PACIFIC HOUSE,2.41,1.4,5.65,11.4,7.86,2.12,0.29,1.86,0.03,0,0,0,33.02,64,64
PLCC1,PLACERVILLE,2.05,1.1,5.57,8.09,4.8,0.64,0.33,0.11,0,0,0,0,22.69,59,59
PLUC1,PLUMAS EUREKA SP,4.9,M,M,10.8,3.9,3.5,M,1.1,0.3,0,0.2,M,M,,
PRAC1,PORTOLA,1.39,0.56,1.71,5.91,3.39,0.24,0.16,0.95,0,0,0,0,14.31,62,62
PRDC1,PARADISE,2.67,1.1,9.84,11.26,8.17,0.86,0.93,0.23,0,0,0,0,35.06,62,62
PRPC1,PIT RIVER PH5,9.15,1.68,12.41,23.76,8.13,M,1.61,0.79,0.11,0,0.1,0,M,,
PTRC1,PIT RIVER PH1,1.48,0.25,1.69,2.65,1.35,0.37,0.37,0.68,0.02,0,0,M,M,,
QCYC1,QUINCY,2.36,0.88,3.33,10.19,5.68,1.58,0.51,0.98,0,0,M,0.06,M,,
RBL,RED BLUFF AP,1.11,0.35,2.77,6.83,2.12,0.07,0.11,0.26,0,0,0,0,13.62,57,57
ROMC1,ROUND MOUNTAIN,6.27,1.3,7.65,12.8,4.96,1.29,1.16,0.93,0.13,0,0.14,M,M,,
SAC,SACRAMENTO AP,1.05,0.85,3.17,6.67,1.81,0.03,0,0.04,0,0,0,0,13.62,76,76
SERC1,SIERRAVILLE,1.63,0.39,2.35,4.87,2.15,0.41,0.06,0.42,0,0,0,0,12.28,47,47
SHDC1,SHASTA DAM,4.16,0.6,10.24,16.69,10.52,0.28,0.76,1.14,0.08,0,0,0,44.47,70,70
SLPC1,SLY PARK,2.67,1.53,5.6,9.77,7.22,1.51,M,1.76,0,0,0,0.22,M,,
SMTC1,SACRAMENTO 5 ESE,0.93,0.98,3.35,7.42,1.83,0.12,0.01,0.04,0,0,0,0,14.68,74,74
SODC1,SODA SPRINGS,4.76,1.73,8.5,15.9,7.91,3.23,0.91,1.85,0,0.08,0,0,44.87,NA,NA
STOC1,STONY GORGE,0.71,0.12,3.13,10.61,3.97,0,0,0.94,0.03,0,0,0,19.51,92,92
STYC1,STRAWBERRY VALLEY,5.73,1.9,11.89,19.17,12.08,2.69,0.87,0.94,0,0,0,0,55.27,69,69
TWLC1,CAPLES LAKE,1.56,1.12,4.46,9.52,4.42,1.1,0.34,M,0,0.09,M,M,M,,
VOLC1,VOLTA PH,3.33,1.25,4.92,6.36,2.81,2.05,0.31,0.5,0,0,0.13,M,M,,
VTNC1,VINTON,2.26,0.59,1.75,3.47,1.41,0.69,0.07,1.15,0,0.03,0,0,11.42,81,81
WDDC1,WOODLAND,1.64,0.78,3.27,10.66,3,0,0.01,0.03,M,0,0,M,M,,
WSKC1,WHISKEYTOWN RES,4.26,M,10.18,17.38,9.9,0.26,0.47,1.05,0.1,0,0.04,0,M,,
ABYC1,AUBERRY,0.43,0.19,3.57,7.37,4.72,0.59,0.03,1.21,0,M,0,0,M,,
ARNC1,CALAVERAS BIG TREES,2.2,1.42,7.3,12.75,8.38,1.33,0.77,1.49,0,0,0,0,35.64,64,64
BCRC1,BIG CREEK PH #1,0.45,0.43,3.2,8.85,5.87,0.59,0,1.75,M,0.95,0,0.01,M,,
CHVC1,CHERRY VALLEY,1.34,0.62,6.11,11.14,9.5,0.64,0.31,1.43,0.03,0.04,0,M,M,,
CMPC1,CAMP PARDEE,1,0.98,3.68,5.84,2.21,0.09,0.08,0.53,0,0,0,0,14.41,63,63
EXQC1,EXCHEQUER DAM,2.39,0.31,2.83,7.74,3.28,0,0.01,0.37,0,0,0,0,16.93,85,85
FDDC1,FIDDLETOWN DEXTER RANCH,2.11,0.97,4.85,9.27,4.64,0.72,0.17,0.73,0,0,0,0,23.46,63,63
FLOC1,FLORENCE LAKE,0.52,0.59,M,3.78,2.39,M,0,1.65,M,0.98,0,0.25,M,,
FRAC1,FRIANT GOVERNMENT CAMP,M,0.05,2.26,4.34,1.42,0.06,0.03,0.6,0,0,0,0,M,,
GRVC1,GROVELAND RS,1.62,0.69,5.73,11.61,6.18,0.76,0.12,0.88,M,0,0,M,M,,
