ID,Location,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,WY Tota,Pct Avg to Date,
4LW,LAKEVIEW,2.83,M,M,M,M,1.58,2.18,1.93,0.77,M,0,0.02,M,,
ADNC1,ADIN,2,1.36,4.17,0.18,1.44,2.79,2.23,2.16,M,M,0,0.07,M,,
ALTC1,ALTURAS,1.95,1.19,2.88,0.43,0.73,1.75,2.69,1.63,1.13,0,M,M,M,,
AUBC1,AUBURN,3.19,4.8,10.69,2.25,6.32,12.13,0.58,2.67,2.97,0,0,0,45.6,125,125
BLU,BLUE CANYON,M,M,M,M,M,M,M,M,M,M,M,M,M,,
BNYC1,BURNEY,2.9,2.15,7.29,1.1,5.79,7.85,2.32,3.4,0.95,0.02,0,0.3,34.07,127,127
BODC1,BOWMAN DAM,16.16,11.45,32.52,2.49,12.96,29.33,8.21,4.41,6.12,M,0,1.35,M,,
BRRC1,BRUSH CREEK RS,M,M,M,M,M,M,M,M,M,M,M,M,M,,
BUCC1,BUCKS CREEK,7.22,8.44,19.29,2.32,9.81,23.01,3.96,6.13,3.91,0,0,0.04,84.13,121,121
BUKC1,BUCKHORN,8.56,7.92,20.3,2.13,10.61,21.09,6.45,6.67,3.83,0.4,0,0.53,88.49,133,133
CANC1,CANYON DAM,4.6,5.28,12.27,1.05,7.77,9.92,2.42,3.73,2.92,0,0,0.24,50.2,133,133
CBYC1,CANBY 3SW,M,M,M,M,M,M,M,M,M,M,M,M,M,,
CHAC1,CHALLENGE RS,M,M,M,M,M,M,M,M,M,M,M,M,M,,
CHEC1,CHESTER,4.64,4,9.36,0.99,5.34,9.7,2.07,2.34,2.17,0,0,0.02,40.63,123,123
CHUC1,CHICO UNIVERSITY FARM,2.55,3.23,4.4,3.38,3.67,5.53,0.28,3.97,1.91,0,0,0,28.92,110,110
CLGC1,COLGATE PH,7.73,6.04,14.65,2.29,6.28,12.7,1.47,2.53,1.95,0,0,0.02,55.66,135,135
COFC1,COLFAX,5.81,6.84,13.11,M,4.22,16.07,1.56,2.01,M,M,0,0,M,,
DAVC1,DAVIS EXPERIMENTAL FARM,0.91,2.11,5.49,1.89,3.47,6.35,0.08,0.96,1.73,0,0,0.01,23,121,121
DESC1,DE SABLA,8.52,8.69,19.14,2.63,12.72,21.25,2.06,8,3.3,M,0,0.09,M,,
DUNC1,DUNSMUIR,8.02,5.92,19.14,2.03,8.03,22.13,2.86,2.93,2.43,0.24,0,0.13,73.86,119,119
DWNC1,DOWNIEVILLE,8.51,10.6,21.52,2.67,10.2,22.69,5.49,5.21,3.78,0,0,0.39,91.06,145,145
