ID,Location,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,WY Tota,Pct Avg to Date,
NOFC1,NORTH FORK RS,1.56,4.72,4.9,4.17,7.17,3.46,1.72,1.37,0.94,0,0.18,0.03,30.22,89,89
PANC1,PANOCHE 2W,0.05,0.78,0.92,1.8,1.74,1.08,0.12,0.15,0.23,0,0,0.01,6.88,65,65
SCKC1,STOCKTON FIRE STA 4,0.45,M,2.26,1.38,4.35,1.15,0.49,0.68,0.06,0,M,0.35,M,,
SONC1,SONORA,0.62,4.39,4.43,2.5,5.87,4.96,1.31,1.99,0.33,0,0.02,0.16,26.58,81,81
SPGC1,SALT SPRINGS PH,1.86,4.64,5.77,4.94,7.18,11.18,2.07,4.47,0.32,0.01,0.11,0,42.55,92,92
TIGC1,TIGER CREEK PH,1.39,3.63,6.87,4.49,8.28,7,2.74,3.92,0.02,0,0,0.12,38.46,83,83
TRAC1,TRACY CARBONA,0.22,1.11,0.86,2.4,2.34,0.46,0.23,0.29,0.68,0,0,M,M,,
WSTC1,WEST POINT,1.03,2.99,5.56,3.81,7.55,5.9,2.13,3.14,0.1,0,0,0.19,32.4,89,89
YNPC1,SOUTH ENTRANCE YOSEMITE,1.75,5.46,5.58,5.25,8,5.17,1.04,4.19,0.86,0,0.56,0.02,37.88,90,90
YPQC1,YOSEMITE PARK HEADQUARTER,1.63,4.73,2.71,3.08,7.16,7.77,1.73,7.4,0.35,0,0,0.01,36.57,97,97
